branching_factor,false_positive_rate,max_elements,total storage,name,num_nodes_visited,nodes_visited,time,leaf_nodes_reached,nodes_per_depth
2,0.1,1000,91067,Zane,0,[],0.007772207260131836,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.1,1000,91067,Cora,0,[],0.007772207260131836,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.1,1000,91067,Ida,0,[],0.007772207260131836,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.1,1000,91067,Pedro,0,[],0.007772207260131836,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Jody,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Colleen,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Greg,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Tomas,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Chelsie,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Jon,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Agnes,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Harriet,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Sherrie,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Carolina,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Annie,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Lauretta,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Leota,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Darron,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Kristine,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Jenette,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Rueben,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Emiko,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Harry,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Phyllis,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Hanna,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Phyllis,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Keisha,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Kerry,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Neal,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Rosario,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Ida,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Mario,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Harry,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Foster,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Roderick,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Emerita,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Sybil,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Florence,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Katie,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Melida,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Harris,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Mario,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Yolanda,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Dave,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Julio,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Forrest,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Maryanne,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Chang,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Dennise,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Samual,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Zane,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Cora,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Ida,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.01,1000,182134,Pedro,0,[],0.00795125961303711,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Jody,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Colleen,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Greg,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Tomas,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Chelsie,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Jon,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Agnes,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Harriet,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Sherrie,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Carolina,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Annie,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Lauretta,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Leota,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Darron,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Kristine,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Jenette,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Rueben,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Emiko,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
2,0.001,1000,273182,Harry,0,[],0.007977962493896484,[],"[[1], [], [], [], [], [], [], [], [], [], []]"
